,0 s,1 s,2 s,3 s,4 s,5 s,6 s,7 s,8 s,9 s,10 s,11 s,12 s,13 s,14 s,15 s,16 s,17 s,18 s,19 s,20 s,21 s,22 s,23 s,24 s,25 s,26 s,27 s,28 s,29 s,30 s,31 s,32 s,33 s,34 s,35 s,36 s,37 s,38 s,39 s,40 s,41 s,42 s,43 s,44 s,45 s,46 s,47 s,48 s,49 s,50 s,51 s,52 s,53 s,54 s,55 s,56 s,57 s,58 s,59 s,60 s,61 s,62 s,63 s,64 s,65 s,66 s,67 s,68 s,69 s,70 s,71 s,72 s,73 s,74 s,75 s,76 s,77 s,78 s,79 s,80 s,81 s,82 s,83 s,84 s,85 s,86 s,87 s,88 s,89 s,90 s,91 s,92 s,93 s,94 s,95 s,96 s,97 s,98 s,99 s,100 s,101 s,102 s,103 s,104 s,105 s,106 s,107 s,108 s,109 s,110 s,111 s,112 s,113 s,114 s,115 s,116 s,117 s,118 s,119 s,120 s,121 s,122 s,123 s,124 s,125 s,126 s,127 s,128 s,129 s,130 s,131 s,132 s,133 s,134 s,135 s,136 s,137 s,138 s,139 s,140 s,141 s,142 s,143 s,144 s,145 s,146 s,147 s,148 s,149 s,150 s
龙头x (m),8.799999999743886,8.73329631565831,8.553812791016721,8.263746880603389,7.866739022914765,7.367833493522291,6.773420539311031,6.0911607102127405,5.329891566223988,4.499518633981434,3.6108909640896423,2.675663571931454,1.7061481063912445,0.7151531547470313,-0.2841826186248992,-1.2785636743224975,-2.2547141160378597,-3.199555339809696,-4.100382639182493,-4.945037959243905,-5.722077123053326,-6.420928396817785,-7.032040796775325,-7.547019758523319,-7.958748179373047,-8.261490971495254,-8.450981737900717,-8.524489988882896,-8.480867869474752,-8.320575465500436,-8.045684151604227,-7.659857675526908,-7.168311059532991,-6.577747494479296,-5.8962740575144235,-5.133297039768916,-4.29939829408599,-3.406193786301494,-2.4661767442092297,-1.4925466568469958,-0.4990272565347356,0.5003250256399876,1.491318417330237,2.459827203551307,3.3919939418399307,4.2744294979502735,5.094407914687171,5.840053974211902,6.500519629047365,7.066147414829783,7.528618052315014,7.881079807808609,8.11825763643259,8.236540399340742,8.234044323333388,8.11065179723048,7.868024413983572,7.509589992597464,7.040503257074567,6.4675804649233735,5.799209021877222,5.0452324788281215,4.216812902642009,3.326272223960369,2.3869146151938025,1.4128324598337085,0.41869871468702424,-0.5804517792167817,-1.5694479517862931,-2.533212953026882,-3.4569949335456576,-4.326595025170034,-5.128589230219341,-5.850540134363753,-6.4811956745390455,-7.01067123103585,-7.430612434117959,-7.734335500248633,-7.91694294646989,-7.975412497126332,-7.90865730583115,-7.7175563964024265,-7.404954363357694,-6.975629912826228,-6.43623348402967,-5.79519451330788,-5.062599250123715,-4.250041047422497,-3.370444817796269,-2.43786873111053,-1.4672849332605367,-0.4743442212993436,0.5248734427727382,1.5141173150181944,2.4772300248006105,3.3984124045847595,4.262485793663748,5.055145839116945,5.763205338106675,6.374820432496017,6.879697024869224,7.269273513721761,7.5368764427618355,7.677846029654605,7.689629279530333,7.571838492371937,7.326273807199402,6.95690891964485,6.469839612300719,5.8731957390263485,5.177017342729103,4.393096747086608,3.534788886434961,2.61679269078941,1.6549067281704035,0.6657633987382607,-0.3334543360396487,-1.325309011876342,-2.2924121725129836,-3.217730199391103,-4.084887450973286,-4.87846090628266,-5.584261045564951,-6.1895940135171115,-6.68349975405685,-7.056961868603941,-7.303084778472904,-7.4172347077397704,-7.3971412603563635,-7.242957332302738,-6.9572755706790845,-6.54510056928301,-6.0137764599337125,-5.3728709042652145,-4.634016674001482,-3.810713300478793,-2.918091939849938,-1.9726469858243088,-0.9919394685391851,0.0057231410191977234,1.0016246748791835,1.9769898264286094,2.9133387373330333,3.7928399020126213,4.598655319233656,5.315270196135444,5.928801580289634,6.427278839962674,6.800890922952101,7.04219455120036,7.1462788428101085
龙头y (m),-2.5747465694615402e-08,-0.9972330182859748,-1.9804452083170598,-2.9368864893750617,-3.854110817463443,-4.720139931841979,-5.523622352267151,-6.253985069653331,-6.901576798792592,-7.457799734168509,-7.9152289715570765,-8.26771710365001,-8.510482874542436,-8.640182553489161,-8.654962583656014,-8.554493002613299,-8.33998071903109,-8.014162359805917,-7.581276508080203,-7.047015642504869,-6.418457906874396,-5.7039798094405585,-4.913150520873848,-4.056609084643271,-3.145926036784564,-2.193451360332801,-1.2121503030273655,-0.21542957151885356,0.7830443423616789,1.7695312959392644,2.730407014030991,3.6523520070061597,4.522538030234335,5.32880948153206,6.059856744427435,6.7053793313575625,7.256236198285115,7.7045812569702665,8.043981585583852,8.269516975448209,8.37785876022903,8.36732690718236,8.237924082859886,7.991346137525655,7.630968433457832,7.1618079971938124,6.590461936777535,5.925022308780995,5.174968946356597,4.351041145163375,3.4650898796579823,2.529912656416824,1.5590732188165735,0.5667080281827973,-0.4326768247035172,-1.4244163806454067,-2.393901811343566,-3.326796010231172,-4.2092477905429675,-5.028100589953104,-5.77109234914822,-6.427044500737049,-6.986036096880677,-7.4395607494219,-7.7806638114708715,-8.004057400189376,-8.106211294001564,-8.085418086791881,-7.9418312003919445,-7.6774749518149354,-7.296226104420052,-6.803766948891356,-6.207510097227191,-5.516496094202903,-4.741264767460088,-3.893702330270551,-2.986865883450711,-2.034788281606605,-1.0522658555780116,-0.05463186843791587,0.9424801739194524,1.9233805329580955,2.872570358663246,3.774988359836526,4.616252654354596,5.382894281966137,6.062578612266282,6.64431050038965,7.118620162144998,7.477726106863624,7.715672817133671,7.82843982599425,7.814020789494201,7.672470416993041,7.405918274256834,7.018548838059301,6.516547408334064,5.908012902372758,5.202837765428105,4.412557278574243,3.5501699766282844,2.6299318188617735,1.6671271926318108,0.6778206032226524,-0.32140758747955533,-1.3137366708928642,-2.2823880542682335,-3.21090989999057,-4.0834593781364195,-4.885077066778622,-5.601949539634505,-6.22165486759049,-6.733386739996119,-7.128153102683743,-7.3989455717230594,-7.540876089112791,-7.551278208667187,-7.4297706374585095,-7.178281374128884,-6.801031598853151,-6.304478914747809,-5.697220420855393,-4.989856853524096,-4.194819463521416,-3.3261625033098383,-2.39932422943747,-1.4308605613070429,-0.4381554633310323,0.5608866391373944,1.548161329414915,2.505692091491738,3.4159591058413032,4.262223908930637,5.028842822243684,5.701564111354013,6.2678026450448865,6.716886729628211,7.040272286444231,7.231719589246466,7.287429007409021,7.206132424199401,6.989138000354587,6.640326682815539,6.166099972503123,5.575278919272473,4.878955927627926,4.090301026404349,3.224326268984902,2.2976114532417506,1.3279963236912726,0.3342449406293381
第1节龙身x (m),8.363823860263707,8.620109315043749,8.765437823606796,8.797815145611791,8.716696964291863,8.523004097169988,8.219118847408582,7.808862446367227,7.297453369872365,6.6914473562276475,5.998659326621796,5.22806812037295,4.389705357714978,3.494529326340167,2.554285819050529,1.5813574098873515,0.5886029145725499,-0.41081069452725166,-1.4035818923023597,-2.376451163931204,-3.316378810940575,-4.210721156473729,-5.047402691028831,-5.815082111708478,-6.503310179000108,-7.102676012628439,-7.60494114851421,-8.003158641357558,-8.291775370115271,-8.466716309655801,-8.525449226876269,-8.467028685992203,-8.292118615192383,-8.002992890047548,-7.603513524587323,-7.099086873321437,-6.496597752664308,-5.804322559868471,-5.031822133195165,-4.189815771760595,-3.2900378849792475,-2.3450789760442308,-1.3682135374648094,-0.3732164309051912,0.6258292949546723,1.6147306821243197,2.5793861444525863,3.5059878301610516,4.381220788434195,5.192457428639269,5.92794350819456,6.576973237816978,7.130050546103296,7.579034830332615,7.91726755382981,8.139678884687756,8.24287194949431,8.225183208095036,8.086718078666463,7.829360713048742,7.456757751311715,6.974275670204909,6.388932275161201,5.709303103922684,4.945403663646749,4.1085489816473295,3.2111925641421974,2.266746435401668,1.289385626806371,0.293838526583218,-0.7048321900853973,-1.6914565831286148,-2.650987609974642,-3.5687319378656084,-4.430577308701616,-5.223213021187688,-5.934340653163054,-6.552870441917173,-7.069101375146682,-7.474881114491042,-7.763743468732045,-7.931020823997039,-7.973929501913827,-7.891626399982686,-7.685235557067105,-7.357844044319369,-6.914466618505542,-6.361979564931357,-5.709024097789292,-4.965881030430981,-4.144317392872497,-3.2574082242275915,-2.319335248804181,-1.345165934503895,-0.3506157276888288,0.6482021495590371,1.6350366399555472,2.5937624526503518,3.5086455643412133,4.364603925233641,5.147460638654064,5.844184500729944,6.443114153450533,6.934161651938684,7.30899194120102,7.56117487800329,7.68630693779,7.682100082690123,7.548435859514462,7.287383471122036,6.903180888145663,6.402178873483587,5.7927484572993215,5.0851528083796955,4.291385396218926,3.424976556483512,2.5007716607872945,1.5346838131394622,0.5434258593375171,-0.4557746596139292,-1.4454727421184472,-2.4083097594609657,-3.327319393631045,-4.186229782272952,-4.969756730340191,-5.663882530159092,-6.256115154660201,-6.735723469850286,-7.093942938036895,-7.32414861486274,-7.421991441169102,-7.385494740640142,-7.215108936967232,-6.913722619201897,-6.4866293129528865,-5.9414496923723155,-5.288010389698494,-4.538180459897521,-3.7056687219313376,-2.805784072964044,-1.8551638413698306,-0.8714739846478251,0.12691374304837605,1.121260622933994,2.0928119410933173,3.023151098132255,3.894552410320943,4.690323953246651,5.395135575910262,5.995323958740488,6.479169417024666
第1节龙身y (m),2.8265438638019784,1.8605263880154261,0.8717144627342842,-0.12719414852315566,-1.123328585007748,-2.1038102739885614,-3.0559197221424,-3.967262380234286,-4.825932177015134,-5.620669261433803,-6.341011008140304,-6.977433750933162,-7.521483140942101,-7.965891685390844,-8.30468141099187,-8.533250377263606,-8.648441697545788,-8.648593859158504,-8.533571530041906,-8.304776283474734,-7.965136844551629,-7.519078724830635,-6.972473578580363,-6.332568675836666,-5.607896844923874,-4.8081688945903664,-3.9441487287507706,-3.0275130522322358,-2.0706977649485556,-1.086732493438396,-0.08906553453892592,0.9086182250339465,1.8925843239767939,2.8492378136631076,3.765312497427039,4.628056454829359,5.4254127529408525,6.146191543608369,6.780231700396562,7.318549362041507,7.753471275248482,8.078750885954237,8.289665145903427,8.383090796537028,8.357558546088741,8.213284201787486,7.952176125853688,7.577818476648139,7.095430466501366,6.511801639033152,5.835204039982718,5.075282178077523,4.24292248080664,3.350102814225592,2.40972575630606,1.4354363031561586,0.44142699073015773,-0.557766129476059,-1.5474749571323483,-2.51311461374482,-3.440398865907264,-4.315553932599548,-5.125526086170819,-5.858180417960006,-6.50248789891256,-7.048697619308942,-7.4884912927557865,-7.815117839189578,-8.023505327614634,-8.110348870829588,-8.07417230387704,-7.915362810561597,-7.6361774169386445,-7.240720981144819,-6.734895682921994,-6.126322562671284,-5.424235498155743,-4.63934974902517,-3.783705899481875,-2.8704920210070903,-1.9138461460458944,-0.9286420593496887,0.06973833700539422,1.0656433345988912,2.0433955241125954,2.987539090855864,3.8830861719693757,4.7157577301349844,5.472215911411288,6.140283135671058,6.709145480684696,7.169535536628066,7.513892509265514,7.736496223230441,7.833572777005907,7.803369563681026,7.6461981765598885,7.3644440792670105,6.962542317641226,6.4469194847106985,5.825902193238602,5.109593342332741,4.309717612887432,3.4394385382624577,2.513149723702381,1.5462434276920598,0.554859953462368,-0.4443781616136123,-1.4346426396420124,-2.399182249000539,-3.321607582001614,-4.186172362320806,-4.9780466900009825,-5.683577632195127,-6.29053221167068,-6.788318653424501,-7.168181511718766,-7.423367247947363,-7.549256569345964,-7.543461187396121,-7.405882572696083,-7.1387312060065975,-6.746505456951975,-6.235929893591741,-5.615853520784015,-4.897109228669538,-4.092336592411787,-3.2157699773053454,-2.2829963855977757,-1.3106859975287748,-0.31629996085718864,0.6822184941568877,1.6667662650638313,2.6194080472171493,3.522705134481106,4.360038910473766,5.115922441215037,5.776295272576262,6.328794597830984,6.762998621608485,7.070636091276516,7.2457583336925415,7.284869721443919,7.1870134216510575,6.953810390396169,6.589450036987663,6.100631898987094,5.49645914047274,4.788284445908908,3.989511312330137,3.115353549812941
第2节龙身x (m),7.706853808862591,8.138361263545905,8.46528814911201,8.6833267902157,8.789554023223923,8.782476656568695,8.662058768717426,8.429730437589422,8.088377482810392,7.642312271134412,7.097225680575547,6.460120582395326,5.739227820277999,4.9439053448206245,4.08452148585244,3.1723244600474265,2.219298767190023,1.238010772265503,0.24144551957829022,-0.7571636912952525,-1.744509876406634,-2.7073902060254604,-3.632882856969338,-4.508522495899565,-5.322470595523187,-6.063678636906388,-6.722042145388434,-7.288543327193049,-7.7553798503079845,-8.11607836313194,-8.365590744297961,-8.500371657744097,-8.51843618589124,-8.419396500879158,-8.204476772353809,-7.876506075051527,-7.439888869387236,-6.900553454491614,-6.26587870531166,-5.544600091441489,-4.74669583578215,-3.883254607245009,-2.966326673984181,-2.0087599381289936,-1.0240236938600293,-0.026021654213993387,0.9711024843370595,1.953164969478525,2.90614365056481,3.8163796792643643,4.670775473270261,5.456986403331875,6.1636032257032625,6.780322950113947,7.2981047942124055,7.709309416824449,8.007819158167877,8.189136729146163,8.25046149737132,8.190741358902113,8.010699466685834,7.712835002630908,7.301397669357387,6.782336117925938,6.16322066829168,5.453140987943934,4.662580506492582,3.803268330381074,2.8880117186802785,1.930510040144094,0.9451544425046741,-0.05318572652143362,-1.0493850118533938,-2.0282903172267863,-2.974951689501131,-3.8748521754542247,-4.714133659970767,-5.479813735528095,-6.159992296985669,-6.744042338974469,-7.22278342725666,-7.58863420222027,-7.835741264288005,-7.960082631696551,-7.959543092389183,-7.833960637142108,-7.58514240830079,-7.216849778406776,-6.734752249963987,-6.146350705284674,-5.460870614154052,-4.689126720025446,-3.843360928957202,-2.937055724165373,-1.9847255904902712,-1.0016901800613816,-0.003831120247944537,0.9926610659323757,1.971549405928566,2.9168148936966056,3.812920804324775,4.645071336114569,5.399460766705915,6.06350902329843,6.626078743843912,7.077671167388498,7.410596291416633,7.619114811548311,7.699548518070488,7.65035740097989,7.472181383799019,7.167845591469597,6.7423285778409126,6.202693687584898,5.557983945997889,4.819082021234572,3.9985373079288378,3.110361995134725,2.169800241968729,1.1930733040238195,0.19710476198873458,-0.8007688595678574,-1.7830984022194591,-2.732627234999993,-3.6325964405778994,-4.4670444952575625,-5.221095705184473,-5.881233543194794,-6.4355513305017045,-6.8739780401870485,-7.188473128582273,-7.373186971002856,-7.42458383966316,-7.341524082118505,-7.1253038726036175,-6.779650923503326,-6.310675873914382,-5.726779220969246,-5.038515408425452,-4.258415273326218,-3.400770178195823,-2.4813810867895567,-1.5172759758345482,-0.5264022961284518,0.47270277968245283,1.461255641052875,2.4205793110849694,3.3324574255147157,4.1794848513568565,4.945405858046983,5.61543482021318
第2节龙身y (m),4.3401126148605975,3.4386324704240807,2.494184856589561,1.5188290448867519,0.5250621013949924,-0.4743398333785983,-1.4664845047708965,-2.4385299115671133,-3.3778510303395257,-4.272205003815623,-5.109892826520762,-5.879915286935203,-6.572120696860235,-7.177342902025068,-7.6875275756949195,-8.095844512467844,-8.396785024268878,-8.586242487385302,-8.661574903259812,-8.621648563228351,-8.466861946278705,-8.199149307043758,-7.821963849024799,-7.340240220432797,-6.760336802187516,-6.089958430481179,-5.338060240474319,-4.51473359059268,-3.6310758945241663,-2.69904545770784,-1.7313034210768903,-0.7410448217179736,0.2581791295650608,1.2526451662928582,2.228646252015487,3.172680445960422,4.0716395681858515,4.912993308237741,5.684967140717698,6.376711012544355,6.978456733934514,7.481661559494568,7.879135641371973,8.165151701740392,8.335534820760705,8.387731199761818,8.320854425720265,8.135708430543826,7.834786587253867,7.422246608363892,6.903861375967449,6.286946136155674,5.580262948837903,4.793903110266872,3.939149635138794,3.028321140776255,2.0745987997577946,1.0918400915506987,0.09438011739356475,-0.9031754776193909,-1.8861631718414082,-2.8400776854081027,-3.7507872178265567,-4.604745070857992,-5.389194667011611,-6.092364842507122,-6.703651762497602,-7.213785547465062,-7.614977892168084,-7.901049240272052,-8.067532423394534,-8.111751714887697,-8.032875205107667,-7.831939720142939,-7.5118474645488185,-7.077334179479882,-6.534908641257259,-5.892764824422056,-5.160666581051221,-4.349807636316514,-3.4726477029531626,-2.542727370386305,-1.5744648309888027,-0.5829359813718216,0.41635668952693516,1.4077248431810598,2.3755404826187414,3.3044828249228893,4.179783391499484,4.987464262193999,5.714566358990306,6.349363511450815,6.881558915659807,7.302460547135617,7.60513253030223,7.784519475833574,7.837541852303632,7.7631598821887735,7.5624050907442655,7.238378219894031,6.796213207856225,6.243007451934381,5.587719036532007,4.841031899048054,4.01519152991817,3.123812493826596,2.1816616309345656,1.2044192191523828,0.20842307944067665,-0.7896016027506589,-1.772821485657396,-2.7245792207565596,-3.6286773751935484,-4.469657375844932,-5.233069127294621,-5.905725916012979,-6.475940219159721,-6.933736574698859,-7.2710366485010365,-7.4818136601351055,-7.562212763616446,-7.510634735405575,-7.327781234409474,-7.016660108253451,-6.582550177390358,-6.0329255228955825,-5.377340403236859,-4.627275177391099,-3.7959473301541418,-2.898088437063438,-1.9496918964115453,-0.9677355808711882,0.030117158183671548,1.025831596578944,2.001325872289867,2.938800469918936,3.821065206653602,4.631859628704446,5.356159168955967,5.9804625862110745,6.49305402091368,6.8842349835878665,7.146521686390446,7.27480271645301,7.266454533075991,7.121411162798435,6.842186529918026,6.433848310624579,5.9039426619014685,5.262371102028014,4.521220716261089
第3节龙身x (m),6.780179670540525,7.371565654847794,7.868349951663302,8.264082568367742,8.553585331216311,8.733025616566394,8.799972965928184,8.753438488949191,8.593895687555838,8.323282594709719,7.944985055986145,7.4638006903760665,6.885884597818188,6.2186767758567125,5.470811640771208,4.652012138218274,3.7729676475860936,2.845198789756429,1.880910091787627,0.8928319500906592,-0.10594489260693345,-1.1021417995648592,-2.082468110615134,-3.033798668900282,-3.9433510658682303,-4.79885882540314,-5.588739981854274,-6.302257319383652,-6.929668518210699,-7.4623643609443615,-7.892992263740583,-8.215564121663405,-8.425546084741658,-8.51992943486049,-8.497280988023324,-8.357772249811418,-8.103186783546896,-7.736905223807784,-7.263868170099176,-6.690516945051907,-6.024713194573353,-5.275637664867833,-4.453669890976939,-3.570249926394894,-2.6377240948962335,-1.6691763687874623,-0.6782483231011981,0.3210510797907884,1.314541609422293,2.288073007866931,3.227726921883731,4.120017486253043,4.952087431534978,5.711897152432743,6.388403114097764,6.971723741957184,7.453290378774505,7.825979538319318,8.084226116289136,8.22411459397,8.243446773734119,8.141785176553872,7.92047072095622,7.582614407928194,7.1330628389009,6.578337433415134,5.926548605081616,5.187284945018463,4.371479892151269,3.4912564168028934,2.5597530242800253,1.5909323125286885,0.5993756808850531,-0.39993340005076405,-1.39183428577241,-2.3612182861343203,-3.2932604919147845,-4.173647500422753,-4.988801413247069,-5.726093146874994,-6.3740437368939515,-6.922509794198218,-7.362849812612417,-7.688068918045267,-7.892938969100633,-7.974092529927573,-7.930088422063389,-7.761447589514485,-7.470658374303434,-7.062150874932865,-6.542239992138439,-5.91903827606658,-5.202339016555039,-4.403471338482714,-3.535129531730683,-2.6111783714862553,-1.6464376523391406,-0.6564498310237897,0.34276759178374006,1.3349785876964861,2.3039921837828157,3.233927315194659,4.109475671491576,4.916157802394136,5.640567519250559,6.270601803243581,6.795670899248125,7.206885669006114,7.49721821317476,7.661633185185856,7.697186913279968,7.603092394839664,7.3807484113772865,7.033732113712127,6.567754334288152,5.9905781537188325,5.311901774100187,4.543206439303297,3.6975727493824717,2.789467015672299,1.8345014704593388,0.8491722747614586,-0.14942093001021117,-1.143868793568294,-2.1167548160489598,-3.050961178835531,-3.929972054528588,-4.738171017151086,-5.461123962854663,-6.085845312823059,-6.601040974433092,-6.997323359732165,-7.2673950276547545,-7.406196429070107,-7.411014912119037,-7.281552506968664,-7.019950506549501,-6.630769766519349,-6.120926729039368,-5.49958534499063,-4.77800628761944,-3.9693562397114217,-3.0884788463750925,-2.1516330178728826,-1.1762005112418912,-0.18037049192879917,0.8171957960042084,1.7977120382793557,2.7426215085227263,3.633950413134904,4.454654694719529
第3节龙身y (m),5.7053140690233475,4.899633647481601,4.032419157611449,3.114678107467908,2.1581018620893397,1.174918945764553,0.17774166878368805,-0.8205951006349009,-1.8071978489646376,-2.769281404405405,-3.694334944401131,-4.570286981127104,-5.385664564259407,-6.129746681934333,-6.792709399444284,-7.365759288183982,-7.841255501718019,-8.212816964852745,-8.475413965385766,-8.62544270275118,-8.660781287044154,-8.580826676011363,-8.386511538135656,-8.080300807613362,-7.66616750496855,-7.14954839261472,-6.537279259918204,-5.837510933894075,-5.059606905219177,-4.214023325644261,-3.3121736477948787,-2.3662785268556927,-1.3892040522957907,-0.39428929447198985,0.6048341675106523,1.5944273531020612,2.5608331834980165,3.4906657443557774,4.370997162382123,5.18954017732777,5.934822869714794,6.596354007597439,7.164775706533859,7.632001664438503,7.991338632187875,8.237589419132645,8.367135479640904,8.37799802547409,8.269876234342513,8.044162008297167,7.7039306472685976,7.253907393588622,6.700410045379458,6.051267952305197,5.3157188440214185,4.504284361659843,3.6286251523007436,2.701379411265834,1.7359847735154763,0.7464869763307335,-0.25266117657153186,-1.246810055374223,-2.221326991306673,-3.1618124103643335,-4.05431406462908,-4.885537196139397,-5.643045975974588,-6.315454884284671,-6.892605340314988,-7.3657262273757675,-7.727574533093882,-7.9725546503692994,-8.096813676883869,-8.098311301197292,-7.976862777389228,-7.7341541588790115,-7.373728882907342,-6.900946233226822,-6.32291095746492,-5.648375873691476,-4.88761797637535,-4.052289671667029,-3.155247464477888,-2.210359880277116,-1.2322984893931275,-0.23631379891547438,0.7620002196448062,1.7469484717907924,2.702982077172593,3.614944645091457,4.468315885144808,5.249446460596498,5.9457818999670975,6.546070980877748,7.040555083038634,7.421135753253666,7.681516983268447,7.81731959144492,7.826166003315297,7.7077330107094655,7.463771711571709,7.098093724348581,6.616523443144208,6.026816546476907,5.338546229429016,4.5629577544567255,3.712794129205964,2.8020947598869794,1.8459707825151677,0.8603598535678666,-0.13823516244849735,-1.133020161681471,-2.107191245075437,-3.0442188050078074,-3.9281308813945124,-4.743789237920506,-5.4771540377009185,-6.115533176049075,-6.647810212737412,-7.064648104121739,-7.358664127218657,-7.524572696387282,-7.559293336811167,-7.462021256176191,-7.234258835204165,-6.879806874500715,-6.404715563256782,-5.81719454416554,-5.127484499927531,-4.347690707030631,-3.4915814821403917,-2.5743551936137843,-1.6123784227139395,-0.6229005048178248,0.3762507384086992,1.3669879004093743,2.3312902117934526,3.251533165457971,4.110813568387066,4.893265779668796,5.584362249819077,6.171192257915534,6.642714686140936,6.9899780149847235,7.206304676490165,7.287434308962507,7.231623681267962,7.039700231196758,6.715067625247919,6.26366254898524,5.693862837869822
第4节龙身x (m),5.616457227394792,6.34691796088953,6.9959793982717615,7.555292333041521,8.017624109323583,8.376957627465096,8.628574801984177,8.76912479470077,8.796674647399321,8.710742230048302,8.512310705613423,8.203824037812316,7.789163539512282,7.27360569495772,6.663760948813126,5.967495347990871,5.193834253722857,4.35285070471975,3.455538738303249,2.513673578414329,1.5396606575381493,0.5463744848406629,-0.45300945254158714,-1.4451883544065325,-2.4169093968194977,-3.355146652490273,-4.247277719493994,-5.081255523350112,-5.845773970030724,-6.530425273551697,-7.1258459141554376,-7.623850188810335,-8.017548203560633,-8.30144787219987,-8.471538246675795,-8.525353212636606,-8.46201478381859,-8.282254679524788,-7.988413939183785,-7.5844202589181595,-7.0757431842322385,-6.469327416844372,-5.773504936807893,-4.997887233177103,-4.153238546527888,-3.2513315309200586,-2.3047883388222594,-1.326907033952945,-0.3314785376447884,0.6674064933061891,1.655555635472033,2.6188766173272118,3.543578852265871,4.416373264691299,5.224665827188283,5.956743149936544,6.6019475716018166,7.150837342959886,7.595331476265596,7.928836094251389,8.146349638868573,8.244546428543474,8.221835939780584,8.078397341824813,7.816188289455949,7.438927403099741,6.952050732065402,6.362642126297759,5.679338599874822,4.9122116279254335,4.0726257725215556,3.1730769654659574,2.2270117375395886,1.2486311111686104,0.2526805320072168,-0.7457692895150412,-1.731550259730156,-2.6896262675095834,-3.6053245239887626,-4.464562577030444,-5.2540682690943585,-5.961589852296426,-6.576092015235138,-7.087935039764597,-7.489033717395058,-7.772993983448297,-7.935224240670943,-7.97301950287954,-7.885616817711129,-7.674220672026757,-7.3419974447854734,-6.894038975666303,-6.337295061974308,-5.680475676804547,-4.9339244649226215,-4.109464442631722,-3.220218498550462,-2.2804079079536947,-1.3051297327062394,-0.31011923800393193,0.6885010994654442,1.6744813649529755,2.631708386568586,3.5444709769721663,4.397720058793149,5.177321697357451,5.870296867994426,6.46504506693898,6.951546543196121,7.321541046413954,7.568678429489523,7.688639263867163,7.679222135939524,7.540396411689551,7.2743188140226485,6.885312950400049,6.379812114600426,5.766264976028997,5.055006385285402,4.258094078530934,3.3891141081899696,2.4629578879317133,1.4955742057150754,0.5037004993501374,-0.4954230800840129,-1.484350925921352,-2.4457355841330064,-3.3626345930306965,-4.218811326640627,-4.99902806689674,-5.6893243295207725,-6.277274775385684,-6.752223496094374,-7.105488410863091,-7.330532859296036,-7.423100283902309,-7.381309211659811,-7.20570616170014,-6.899275046709932,-6.467402109186877,-5.9177964049288425,-5.2603671360878455,-4.507058214507778,-3.671644534044063,-2.7694904798019047,-1.817277672555437,-0.8327035709012639,0.16584091339775694,1.159612238823496,2.129864253127066,3.058202901558221
第4节龙身y (m),6.875036258372781,6.192922875024915,5.432943921251317,4.6046836216186,3.7186292246096606,2.7860414171613055,1.8188152821946089,0.8293303384766,-0.16970565798060952,-1.1654188520570616,-2.1449345584756956,-3.095544464542152,-4.004872324996137,-4.861036707040616,-5.652809426781724,-6.369765338488109,-7.002424136974906,-7.542379976366609,-7.9824184288968825,-8.316618550794173,-8.540438580106137,-8.65078425134372,-8.646058228712079,-8.52619014421198,-8.292646384739156,-7.948419556632276,-7.497997196468976,-6.947310258369423,-6.303661778700257,-5.575636156056198,-4.772990734461229,-3.90652999879874,-2.987965361871668,-2.0297604226672563,-1.04496501194635,-0.047040493019720825,0.9503231803856507,1.9333944194594561,2.8885892007968685,3.802659925817241,4.6628810813953665,5.457229411773247,6.174555803899649,6.804746171165458,7.338869499461687,7.769310651141265,8.089885307625904,8.295936367417458,8.384408951273443,8.353903824911688,8.204707503707835,7.93879865927453,7.559830494306824,7.073088769094544,6.485426275517637,5.805174206485053,5.042030779826382,4.206930126138017,3.311891502468202,2.3698509600557314,1.3944794246043641,0.3999868628854208,-0.5990819366845332,-1.5880591699034512,-2.5523687844216654,-3.477742831178171,-4.350434131764995,-5.157423986744093,-5.886620477723286,-6.5270449032355335,-7.069003346163772,-7.50424029499499,-7.8260724171497325,-8.0294994940465,-8.111291229512174,-8.070047845538454,-7.906233555096837,-7.622181921382299,-7.22207264222806,-6.711879819851574,-6.099292416632135,-5.393607283658832,-4.605596459079607,-3.7473502275297066,-2.8320986654921803,-1.8740132134759024,-0.887991809776118,0.11056911587463344,1.1060132556226685,2.082668364289917,3.025094472332337,3.9183290260482764,4.748128038287496,5.501197829570792,6.165413519153336,6.730021516087885,7.185821709454582,7.525326167661412,7.7428924811891795,7.834827834182078,7.799462867143644,7.63719324704485,7.3504879693168,6.9438636137252745,6.423825088055912,5.798772690297733,5.078877206515539,4.275923958969394,3.4031292395494757,2.47493016346,1.5067528744672787,0.5147606869250279,-0.4844116942910823,-1.4739350012608885,-2.437068625834804,-3.3574452538432493,-4.219351365343018,-5.008000839220404,-5.709794249054327,-6.312561335315399,-6.8057811715405085,-7.18077616708765,-7.430876257931613,-7.551549931194765,-7.540499522699649,-7.397718299555454,-7.125508259908587,-6.7284571795162345,-6.213375528584697,-5.58919314879436,-4.866816994934021,-4.058952802988073,-3.1798918109515864,-2.245267525662918,-1.2717852439507356,-0.27692944408811393,0.7213461417632474,1.704940751997128,2.6559342171190705,3.556915985811437,4.3913079882882675,5.14367540501236,5.80002106903869,6.348055121057193,6.777437515762371,7.079985749965678,7.249845571838017,7.283619479435174,7.180450920851317,6.942061252954457,6.572738513196727
